id_titulo,id_persona,orden_credito
20,12078,5
20,35682,6
20,18703,7
20,1623,8
22,11045,1
22,34172,2
22,14720,3
22,19129,4
22,11341,5
22,28696,6
22,34171,7
22,6406,8
22,31384,9
22,13753,10
23,19240,1
23,25187,2
23,12660,3
23,14137,4
23,27210,5
23,32834,6
24,23409,1
24,29361,2
24,20164,3
24,22,4
25,30259,1
25,851,2
25,35610,3
25,27210,4
26,5548,1
27,3567,1
27,19207,2
27,30197,3
27,27210,4
27,32834,5
27,13016,6
28,402,1
28,20251,2
28,7147,3
28,9055,4
28,31885,5
28,33070,6
28,23944,7
28,25104,8
28,7736,9
28,37533,10
28,18515,11
29,20152,1
29,18342,2
29,15372,3
29,8167,4
29,19144,5
29,21240,6
29,31485,7
29,26897,8
29,2991,9
29,15671,10
30,22110,1
30,12555,2
30,1930,3
30,13917,4
30,22753,5
30,10827,6
30,18744,7
30,18346,8
30,31535,9
30,2626,10
31,238,1
31,31778,2
31,9314,3
31,21079,4
31,40779,5
31,27912,6
31,28876,7
32,21530,1
32,32407,2
32,32548,3
32,17129,4
32,14878,5
32,17934,6
32,24864,7
32,5040,8
32,26086,9
32,19735,10
32,7173,11
33,3579,1
33,12940,2
33,27462,3
33,10968,4
33,7786,5
33,19858,6
33,1690,7
34,21738,1
34,28987,2
34,39498,3
34,28369,4
34,18926,5
34,14261,6
34,20536,7
34,38227,8
34,40220,9
34,21805,10
35,8196,1
35,16203,2
35,5096,3
35,16702,4
35,27123,5
36,563,1
36,10555,2
36,18650,3
36,38631,4
36,38301,5
36,39120,6
36,30580,7
36,29849,8
36,5078,9
36,7968,10
37,12936,1
37,19444,2
37,12202,3
37,623,4
37,20140,5
37,8052,6
37,25869,7
37,14833,8
37,39035,9
37,16459,10
38,3185,1
38,14188,2
38,23060,3
38,29100,4
38,31038,5
39,4895,1
39,32347,2
39,30436,3
39,37166,4
39,38684,5
39,17240,6
39,29924,7
39,39806,8
39,40291,9
40,38713,1
40,18810,2
40,32619,3
40,17107,4
40,30753,5
40,26760,6
40,36486,7
41,40413,1
41,20642,2
41,3183,3
41,38185,4
41,4450,5
41,13363,6
41,8934,7
41,37790,8
41,18652,9
41,32206,10
41,12226,11
42,32537,1
42,32027,2
42,31535,3
42,22602,4
42,26858,5
42,5987,6
42,16568,7
42,36345,8
42,18035,9
42,37052,10
43,32537,1
43,22602,2
43,26858,3
43,18296,4
43,16568,5
43,7754,6
43,2808,7
43,24242,8
43,4263,9
43,36361,10
44,9407,1
44,4648,2
44,35087,3
44,22641,4
44,17794,5
44,21636,6
44,28761,7
44,8247,8
44,22455,9
44,22371,10
45,22602,1
45,21353,2
45,24149,3
45,19423,4
45,25561,5
45,18644,6
45,26375,7
45,23059,8
47,9427,1
47,32750,2
47,38760,3
47,5271,4
47,33173,5
47,32574,6
47,28185,7
47,32006,8
47,22105,9
47,17500,10
48,28673,1
48,15045,2
48,20007,3
48,37971,4
48,10262,5
48,11335,6
48,29188,7
48,19433,8
48,37095,9
48,37561,10
49,9427,1
49,11391,2
49,33879,3
49,37736,4
49,13914,5
49,31122,6
49,7644,7
49,10080,8
49,35252,9
49,23156,10
49,11464,11
50,31608,1
50,8162,2
50,4908,3
50,5005,4
50,9556,5
50,11406,6
50,9423,7
50,10144,8
50,10515,9
50,440,10
50,2583,11
50,20320,12
50,18635,13
50,1857,14
51,19522,1
51,6485,2
51,9779,3
51,2791,4
51,30390,5
51,2771,6
51,116,7
51,2001,8
51,23494,9
52,19365,1
52,33764,2
52,25997,3
52,20835,4
52,14512,5
52,21073,6
52,28210,7
52,20067,8
52,38110,9
52,15329,10
53,19365,1
53,33764,2
53,20835,3
53,14512,4
53,21073,5
53,20040,6
53,932,7
53,20450,8
54,19365,1
54,33764,2
54,20835,3
54,14512,4
54,21073,5
54,28210,6
54,20040,7
54,6976,8
54,23542,9
54,28123,10
55,19365,1
55,33764,2
55,20835,3
55,14512,4
55,21073,5
55,20067,6
55,28210,7
55,14412,8
55,20040,9
55,37929,10
56,27820,1
56,15578,2
57,18973,1
57,6881,2
57,31740,3
57,19824,4
57,24640,5
57,25995,6
57,40329,7
57,20063,8
57,20881,9
57,24643,10
58,18973,1
58,6881,2
58,28206,3
58,38500,4
58,26750,5
58,19824,6
58,31740,7
58,34852,8
58,27102,9
58,33761,10
58,34748,11
59,18973,1
59,6881,2
59,19824,3
59,33761,4
59,34852,5
59,20129,6
59,32780,7
59,20820,8
59,27102,9
59,34748,10
59,40116,11
59,20827,12
59,40344,13
60,18973,1
60,6881,2
60,40116,3
60,20827,4
60,4041,5
60,19905,6
60,8144,7
60,12304,8
60,14324,9
60,37207,10
60,20747,11
60,26417,12
60,19767,13
60,24643,14
60,19894,15
60,24656,16
60,19824,17
60,34852,18
60,32307,19
60,8147,20
60,34094,21
61,18973,1
61,6881,2
61,33761,3
61,31740,4
61,28116,5
61,20070,6
61,19894,7
61,33523,8
61,40389,9
61,40371,10
61,12292,11
61,26879,12
61,25132,13
61,38110,14
62,18973,1
62,12466,2
62,6881,3
62,34852,4
62,937,5
62,39994,6
62,38507,7
62,32904,8
62,14512,9
62,36677,10
63,18973,1
63,6881,2
63,40116,3
63,19824,4
63,932,5
63,21212,6
63,24087,7
63,38473,8
63,24659,9
63,14415,10
64,18973,1
64,28206,2
64,6881,3
64,19824,4
64,40317,5
64,38283,6
64,14400,7
64,18896,8
64,13870,9
64,14891,10
65,39681,1
65,22143,2
65,21026,3
66,4655,1
66,8915,2
66,23772,3
66,37136,4
68,24330,1
68,37448,2
68,24140,3
68,21406,4
68,10645,5
68,10175,6
68,9393,7
69,25788,1
71,15255,1
72,11499,1
72,11253,2
72,16520,3
72,12226,4
72,11490,5
72,16108,6
72,34961,7
72,7152,8
72,14059,9
73,15479,1
73,25842,2
74,35332,1
74,472,2
74,31314,3
74,37652,4
74,37971,5
74,29408,6
74,17103,7
74,34496,8
76,4347,1
76,16175,2
77,8139,1
77,20820,2
77,18891,3
77,14387,4
77,34852,5
77,20129,6
77,8144,7
77,40206,8
77,18961,9
77,3976,10
77,25244,11
77,37920,12
77,38279,13
77,37207,14
77,33761,15
77,14410,16
77,3800,17
77,20838,18
77,20895,19
77,14373,20
77,39403,21
77,40329,22
77,20072,23
77,23547,24
77,8147,25
77,40385,26
77,18892,27
78,36207,1
78,17106,2
78,35378,3
78,27591,4
78,12472,5
78,2924,6
78,2212,7
78,23649,8
79,38962,1
79,29062,2
79,30493,3
80,38962,1
80,29062,2
80,30493,3
81,37347,1
81,11787,2
81,12237,3
81,29235,4
81,25197,5
81,33471,6
81,28165,7
82,24533,1
82,18897,2
82,39736,3
82,36614,4
82,26411,5
82,25964,6
82,26155,7
83,37759,1
83,21537,2
83,20192,3
83,8091,4
83,21977,5
83,33850,6
83,30501,7
83,835,8
83,38212,9
83,37842,10
83,16778,11
83,29612,12
83,25630,13
84,17292,1
85,12312,1
85,4021,2
85,6937,3
85,40029,4
85,5005,5
85,9556,6
85,1475,7
85,40793,8
85,37598,9
85,11831,10
86,14887,1
86,33635,2
86,40626,3
86,6808,4
86,15762,5
86,25907,6
86,32154,7
86,31086,8
86,6246,9
86,36902,10
87,8942,1
87,13807,2
87,23958,3
87,31953,4
87,40403,5
87,20790,6
87,22444,7
87,27568,8
88,16740,1
88,20492,2
88,14470,3
88,27078,4
88,38467,5
89,23491,1
89,26797,2
90,18810,1
90,32864,2
90,17107,3
90,32619,4
90,21311,5
90,30764,6
90,30753,7
91,10973,1
91,8540,2
91,3952,3
91,10500,4
91,26192,5
91,16799,6
91,3465,7
91,8401,8
93,29504,1
93,21580,2
93,35688,3
93,25265,4
93,4125,5
93,15981,6
93,21037,7
93,39048,8
93,31259,9
93,1069,10
93,26964,11
94,10784,1
94,26874,2
94,18104,3
94,23298,4
94,22553,5
94,1111,6
94,35090,7
94,10776,8
94,18261,9
94,40114,10
95,39520,1
95,22828,2
95,27299,3
95,35664,4
95,18192,5
95,12371,6
95,34451,7
95,28554,8
95,1013,9
95,2540,10
95,9302,11
95,20169,12
96,25918,1
97,32383,1
97,12559,2
97,1722,3
97,21924,4
97,5024,5
97,4898,6
97,10282,7
97,3522,8
97,35863,9
97,17897,10
98,15436,1
98,37790,2
98,1862,3
98,20619,4
98,19916,5
98,13363,6
98,22214,7
99,3137,1
99,6940,2
99,35076,3
99,37136,4
99,35078,5
99,19577,6
99,29394,7
99,31880,8
99,39640,9
99,14168,10
99,19935,11
99,2380,12
99,17300,13
100,18782,1
100,10616,2
100,33619,3
100,1456,4
100,24735,5
100,38252,6
100,37562,7
100,13012,8
101,3884,1
101,38169,2
101,7704,3
101,2840,4
101,16912,5
101,5362,6
101,25514,7
101,18286,8
101,5811,9
104,17103,1
104,28594,2
104,40027,3
104,35332,4
104,20020,5
104,38124,6
104,34079,7
104,17098,8
104,32499,9
104,28774,10
104,30505,11
104,4320,12
104,22790,13
104,23266,14
105,32121,1
105,19249,2
106,3184,1
106,31386,2
106,4923,3
106,39080,4
106,20416,5
106,35600,6
106,33672,7
106,37638,8
106,2234,9
106,4946,10
106,35152,11
107,29858,1
107,19379,2
107,35204,3
107,26297,4
107,20238,5
107,27339,6
107,28004,7
108,23584,1
108,9102,2
108,9984,3
108,9509,4
108,15168,5
108,3367,6
109,3828,1
109,33355,2
109,25497,3
109,25417,4
109,12789,5
109,32724,6
109,18345,7
109,1389,8
110,40901,1
110,15264,2
110,40833,3
110,28823,4
110,11066,5
110,29573,6
110,24620,7
110,1067,8
110,26012,9
110,15648,10
110,11367,11
110,8675,12
110,20764,13
112,22117,1
112,9234,2
112,13363,3
112,18357,4
112,19431,5
112,18652,6
112,1553,7
113,25675,1
113,35664,2
113,2114,3
113,34926,4
113,3791,5
113,36970,6
113,21466,7
113,7161,8
114,38902,1
114,25994,2
114,32120,3
114,351,4
114,37584,5
114,13096,6
114,26886,7
114,35590,8
115,23209,1
115,34322,2
115,37616,3
115,17906,4
115,19231,5
115,14354,6
115,36070,7
115,4392,8
115,20698,9
116,139,1
116,4511,2
116,29410,3
116,20162,4
116,10347,5
116,37347,6
116,7599,7
116,12824,8
116,3127,9
116,33337,10
117,21017,1
117,14299,2
117,39110,3
117,13432,4
117,36329,5
117,38953,6
117,30777,7
117,28015,8
119,963,1
119,28922,2
119,30632,3
119,47,4
119,34368,5
119,3620,6
120,16081,1
120,15383,2
120,38846,3
120,40053,4
120,22612,5
121,17929,1
121,19947,2
121,17430,3
121,19181,4
122,21724,1
122,40040,2
122,34723,3
122,34151,4
122,4147,5
122,30404,6
122,6983,7
122,19302,8
122,21679,9
122,21793,10
122,19309,11
122,29043,12
122,28363,13
123,25204,1
123,24296,2
123,16672,3
123,27707,4
123,34503,5
123,20199,6
123,39854,7
123,14105,8
126,33965,1
126,39327,2
126,21592,3
126,8906,4
126,12537,5
126,29266,6
126,24828,7
127,33,1
127,32923,2
127,40547,3
127,30364,4
127,4736,5
127,3699,6
127,11702,7
127,32957,8
128,14339,1
128,6444,2
128,16654,3
128,8251,4
128,31264,5
128,18789,6
128,22241,7
128,23191,8
128,2307,9
128,24560,10
128,29402,11
128,39488,12
128,20257,13
128,11201,14
128,35081,15
129,13073,1
129,37133,2
129,25033,3
129,12940,4
129,7264,5
129,35686,6
129,18749,7
129,14491,8
129,7225,9
129,1856,10
130,32020,1
130,16682,2
130,26696,3
130,18356,4
130,8202,5
130,5925,6
130,4376,7
130,23042,8
130,31864,9
130,28759,10
131,1965,1
131,1933,2
131,13028,3
131,1175,4
131,9792,5
132,13917,1
132,32667,2
132,34000,3
132,10423,4
132,23085,5
132,8715,6
132,39633,7
132,5487,8
132,17477,9
132,17325,10
132,15813,11
132,26707,12
133,38273,1
133,19348,2
133,6863,3
133,25389,4
133,14560,5
133,23109,6
133,6786,7
133,36212,8
133,19174,9
133,6790,10
133,27723,11
133,22236,12
133,25983,13
133,22426,14
133,17083,15
134,34480,1
134,14595,2
134,35019,3
134,9505,4
134,28024,5
134,40098,6
134,18255,7
134,5203,8
134,17894,9
134,24971,10
135,13917,1
135,39573,2
135,2927,3
135,17350,4
135,14224,5
135,13914,6
135,9944,7
135,26019,8
135,4534,9
135,9162,10
135,37410,11
135,15784,12
135,31121,13
136,36536,1
136,17741,2
136,25778,3
136,16082,4
136,31402,5
136,6187,6
136,21916,7
136,7921,8
136,30837,9
136,25049,10
136,29448,11
137,18636,1
137,27830,2
137,31381,3
137,10478,4
137,5271,5
137,29929,6
137,27270,7
137,13012,8
137,9949,9
137,31107,10
138,29348,1
138,22279,2
138,16772,3
138,18019,4
138,813,5
138,1128,6
138,12847,7
138,35896,8
138,34182,9
138,29402,10
138,24197,11
138,37625,12
138,13265,13
138,26125,14
139,6526,1
139,1893,2
139,31573,3
139,14249,4
139,8096,5
139,8014,6
139,12624,7
139,18251,8
139,19929,9
139,33913,10
140,8571,1
140,28701,2
140,32562,3
140,31541,4
140,12885,5
140,35594,6
140,4841,7
140,17843,8
140,29292,9
140,12185,10
140,33327,11
140,32462,12
140,24450,13
140,26019,14
141,17359,1
141,22903,2
141,13424,3
141,26938,4
141,12840,5
141,38907,6
141,2323,7
142,5594,1
142,19946,2
142,12958,3
142,8089,4
142,18408,5
142,35857,6
142,8246,7
142,14101,8
143,14343,1
143,29186,2
143,33879,3
143,14950,4
143,3274,5
143,24119,6
143,20975,7
143,15515,8
143,34212,9
143,16181,10
143,9180,11
143,38676,12
144,32750,1
144,4985,2
144,29804,3
144,24310,4
144,37546,5
144,16349,6
144,36650,7
144,2611,8
145,7386,1
145,7368,2
145,32094,3
145,37630,4
145,16,5
145,24450,6
145,29287,7
145,5140,8
145,4094,9
145,10357,10
145,19967,11
145,7648,12
145,38766,13
146,7386,1
146,7368,2
146,24450,3
146,5140,4
146,29287,5
146,4094,6
146,37630,7
146,19261,8
146,14937,9
146,30441,10
147,7386,1
147,7368,2
147,37630,3
147,8866,4
147,2623,5
147,20188,6
147,4632,7
147,25580,8
147,7165,9
147,20380,10
149,13643,1
149,6939,2
149,28664,3
149,11996,4
149,10829,5
149,3076,6
149,28541,7
149,35323,8
150,24699,1
150,3057,2
150,13357,3
150,12192,4
150,31579,5
150,17425,6
150,39610,7
150,3027,8
150,37884,9
150,14161,10
150,17854,11
150,25496,12
151,28558,1
151,21242,2
151,27630,3
151,35664,4
151,28879,5
151,14349,6
151,15702,7
151,9007,8
151,38781,9
151,32315,10
151,31982,11
151,12480,12
151,15296,13
151,9923,14
151,26884,15
151,27206,16
151,16834,17
152,16330,1
152,2953,2
152,10352,3
152,3097,4
152,34570,5
152,6541,6
152,18151,7
152,20106,8
153,15636,1
153,22941,2
153,15907,3
153,8461,4
153,4364,5
154,22585,1
154,19565,2
154,4870,3
154,23755,4
154,11210,5
155,20119,1
155,40352,2
155,6954,3
155,40198,4
155,14380,5
155,20070,6
155,36732,7
155,35325,8
155,36982,9
155,13114,10
155,8147,11
155,32777,12
155,18961,13
155,19842,14
155,12304,15
155,20068,16
155,20747,17
155,14394,18
156,8819,1
156,16653,2
156,12164,3
156,20214,4
156,3021,5
156,8752,6
156,5375,7
156,32333,8
156,19416,9
156,34470,10
157,1893,1
157,7341,2
157,12432,3
157,38672,4
157,12139,5
157,22911,6
157,24107,7
157,26166,8
157,23808,9
157,22906,10
157,22137,11
157,12990,12
157,7078,13
158,19719,1
158,6387,2
158,29796,3
158,33538,4
158,1473,5
158,1847,6
158,18317,7
158,20413,8
159,27701,1
159,7270,2
159,20055,3
159,19212,4
159,35870,5
159,978,6
159,3647,7
159,10595,8
159,27693,9
159,25362,10
160,26319,1
160,34570,2
160,35149,3
160,15139,4
160,6837,5
160,24777,6
160,7433,7
160,30443,8
160,6696,9
160,39044,10
161,12804,1
161,34424,2
161,27822,3
161,6746,4
161,24166,5
161,24818,6
161,4689,7
161,17939,8
162,15462,1
162,13073,2
162,2969,3
162,30002,4
162,8581,5
162,24467,6
162,33618,7
162,25656,8
162,32149,9
162,37788,10
162,22925,11
162,27270,12
163,6449,1
163,18338,2
163,19582,3
163,35829,4
163,8289,5
163,15768,6
163,19879,7
163,32215,8
163,9474,9
163,4256,10
164,3686,1
164,36899,2
164,16577,3
164,2573,4
164,25698,5
164,17928,6
164,8939,7
164,6114,8
164,20055,9
164,37133,10
164,26586,11
165,4503,1
165,13763,2
165,39597,3
165,16031,4
165,19940,5
165,29400,6
165,39477,7
165,13295,8
165,12716,9
165,21871,10
165,10309,11
165,3521,12
165,30240,13
165,7508,14
165,37839,15
166,29167,1
166,1156,2
166,34206,3
166,24017,4
166,1180,5
166,8338,6
166,27861,7
166,36392,8
166,13100,9
167,31943,1
167,15905,2
167,10669,3
167,38175,4
167,38302,5
167,5725,6
167,17454,7
167,8571,8
167,39595,9
167,15811,10
168,17503,1
168,26074,2
168,16017,3
168,4877,4
168,7964,5
168,35903,6
168,12785,7
168,9670,8
168,7685,9
168,12225,10
168,28478,11
169,7147,1
169,21569,2
169,8921,3
169,5240,4
169,39634,5
169,32324,6
169,20419,7
169,4502,8
170,18356,1
170,21113,2
170,15414,3
170,31535,4
170,11017,5
170,26931,6
170,26127,7
170,20227,8
170,12247,9
171,38061,1
171,4095,2
171,21117,3
171,8108,4
171,13249,5
171,33939,6
171,7425,7
171,9487,8
171,10080,9
171,10243,10
171,23100,11
171,14115,12
171,21595,13
171,14823,14
171,39769,15
171,30995,16
171,19122,17
171,21241,18
171,23144,19
171,7934,20
171,25459,21
171,19923,22
171,27206,23
171,37271,24
171,24699,25
171,30414,26
171,30586,27
171,31223,28
171,34137,29
171,5729,30
171,30485,31
171,8105,32
171,11219,33
171,38321,34
171,429,35
171,36040,36
172,13295,1
172,31381,2
172,9839,3
172,17990,4
172,28479,5
173,15422,1
173,17314,2
173,26130,3
173,33644,4
173,21800,5
173,19593,6
173,394,7
173,36462,8
173,26294,9
173,20193,10
173,17536,11
173,32041,12
173,38774,13
173,18178,14
174,38383,1
175,5594,1
175,26622,2
175,7703,3
175,10252,4
175,17887,5
175,27705,6
175,6574,7
175,29328,8
175,6445,9
175,37823,10
175,23505,11
175,3948,12
176,5549,1
176,7328,2
176,21906,3
176,39589,4
176,10790,5
176,13078,6
176,1018,7
176,13483,8
177,10319,1
177,15373,2
177,6563,3
177,6675,4
177,38882,5
177,30920,6
177,15813,7
177,34357,8
177,36991,9
177,37469,10
178,13340,1
178,8991,2
178,3082,3
178,35653,4
178,3081,5
178,15772,6
178,15085,7
178,12879,8
178,15871,9
178,31564,10
179,15793,1
179,34247,2
179,22479,3
179,30919,4
179,9605,5
179,37585,6
179,31244,7
179,15908,8
180,10319,1
180,15585,2
180,15765,3
180,21422,4
180,8743,5
180,17586,6
180,29162,7
180,15727,8
181,10319,1
181,16040,2
181,21422,3
181,17586,4
181,31550,5
181,2878,6
181,25326,7
181,15727,8
181,12390,9
181,7080,10
183,24450,1
183,15784,2
183,18498,3
183,23899,4
183,26074,5
183,26434,6
183,6368,7
183,27813,8
183,25578,9
183,22633,10
184,7651,1
184,17755,2
184,31359,3
184,10214,4
184,12537,5
184,12228,6
184,17754,7
184,13331,8
184,17152,9
184,33061,10
185,24060,1
187,34725,1
187,20583,2
187,21769,3
187,13146,4
187,20635,5
187,6981,6
187,14965,7
187,21667,8
187,6420,9
187,19304,10
188,20076,1
189,30889,1
189,40861,2
189,4582,3
189,20978,4
189,40858,5
189,40856,6
189,12227,7
189,28574,8
190,38467,1
190,29042,2
190,19312,3
190,14470,4
190,20517,5
190,21711,6
190,35394,7
191,33770,1
191,30357,2
191,5197,3
192,16816,1
192,10672,2
192,17936,3
192,12914,4
192,19989,5
192,36853,6
192,37114,7
192,24868,8
192,14592,9
192,18692,10
192,15820,11
192,11164,12
192,24464,13
192,24675,14
192,13235,15
193,26385,1
193,38330,2
193,3203,3
193,30792,4
193,30676,5
193,9729,6
193,33461,7
194,18924,1
194,20867,2
194,20607,3
194,35368,4
195,12167,1
195,29138,2
195,6734,3
195,29185,4
195,24608,5
195,32111,6
195,18616,7
195,13423,8
195,7812,9
195,23778,10
196,33452,1
196,3421,2
196,23474,3
196,124,4
196,27527,5
196,38517,6
196,23644,7
196,9130,8
196,30391,9
196,21060,10
197,435,1
197,36845,2
197,30502,3
197,23224,4
197,15160,5
197,24888,6
197,29859,7
197,2983,8
197,26902,9
197,20898,10
198,25661,1
198,24547,2
198,18094,3
198,13669,4
198,5318,5
198,38012,6
198,39056,7
198,2987,8
198,17000,9
198,25367,10
198,6338,11
198,16654,12
198,11985,13
199,35332,1
199,37971,2
199,31608,3
199,10450,4
199,37634,5
199,37652,6
199,31314,7
199,6554,8
199,28264,9
199,20149,10
199,4908,11
199,929,12
199,22551,13
199,28673,14
199,36663,15
199,29408,16
200,647,1
200,27313,2
200,9804,3
200,14356,4
200,38589,5
200,30395,6
200,34372,7
200,30743,8
201,35309,1
201,15199,2
201,27313,3
201,31022,4
201,39237,5
201,9822,6
201,14423,7
201,30748,8
202,38330,1
202,11327,2
202,27313,3
202,39237,4
202,21125,5
202,31799,6
202,26682,7
202,17906,8
202,3606,9
202,16492,10
203,38330,1
203,31819,2
203,15199,3
203,27518,4
203,3203,5
203,16359,6
204,38330,1
204,647,2
204,20931,3
204,23575,4
204,34358,5
204,8706,6
204,36420,7
204,25242,8
204,2223,9
204,7571,10
205,38330,1
205,31819,2
205,3203,3
205,32256,4
205,27526,5
205,7450,6
205,33664,7
205,31141,8
205,19783,9
206,13205,1
206,36421,2
206,30851,3
206,3203,4
206,33747,5
206,34454,6
206,20698,7
206,26551,8
207,28288,1
207,3007,2
207,27517,3
207,30787,4
207,3573,5
207,2012,6
207,14290,7
208,39186,1
208,40588,2
208,34890,3
208,27929,4
208,34296,5
208,36249,6
208,34939,7
209,870,1
209,11021,2
209,19320,3
209,30202,4
209,30922,5
209,27407,6
209,3717,7
209,3945,8
210,962,1
210,14960,2
210,35374,3
210,35381,4
210,33687,5
210,23335,6
210,231,7
210,21119,8
210,30112,9
210,6832,10
211,19187,1
211,30787,2
211,30728,3
211,16070,4
211,34670,5
211,23595,6
211,39093,7
212,36271,1
212,32848,2
212,29080,3
212,33387,4
212,9821,5
212,35437,6
212,19187,7
212,19385,8
213,6636,1
213,32669,2
213,33608,3
213,5370,4
213,25925,5
213,14772,6
213,25624,7
213,29398,8
213,4282,9
213,37832,10
213,29653,11
213,2470,12
213,35518,13
214,20677,1
214,14304,2
214,19118,3
214,26949,4
214,19336,5
214,35253,6
214,37947,7
214,38162,8
214,4751,9
214,35202,10
214,14305,11
214,20746,12
214,20822,13
215,33125,1
215,32567,2
215,2576,3
215,13789,4
215,37847,5
215,37782,6
215,28128,7
215,2949,8
215,28727,9
215,17252,10
215,31099,11
215,31603,12
215,10062,13
216,2018,1
216,33452,2
216,36249,3
216,3315,4
216,237,5
216,39186,6
216,38330,7
216,32254,8
216,34296,9
216,9589,10
216,2066,11
216,27518,12
217,34135,1
217,38330,2
217,27912,3
217,30288,4
217,36229,5
217,30572,6
217,30112,7
217,13014,8
217,1769,9
217,36082,10
218,38923,1
218,11021,2
218,38330,3
218,27201,4
218,30762,5
218,14959,6
218,2783,7
220,36725,1
220,26054,2
220,31716,3
220,14389,4
220,34771,5
220,34697,6
220,33825,7
220,14444,8
220,20450,9
221,22582,1
221,37428,2
221,3018,3
221,36749,4
221,15189,5
221,5868,6
221,18196,7
221,31628,8
222,5044,1
223,40746,1
223,4682,2
223,543,3
223,29976,4
223,271,5
223,16949,6
223,5859,7
223,16391,8
223,22446,9
223,18513,10
223,8398,11
223,14775,12
223,15961,13
223,35886,14
223,4377,15
226,23990,1
226,14860,2
226,25879,3
226,39696,4
226,20788,5
226,40801,6
226,24400,7
226,33540,8
226,30131,9
226,23812,10
226,24500,11
227,19682,1
227,10581,2
227,2516,3
227,20494,4
227,33557,5
227,37152,6
227,40900,7
227,24028,8
227,24444,9
228,20813,1
228,40179,2
228,25611,3
228,38557,4
229,30002,1
229,22940,2
229,28417,3
229,10639,4
229,6289,5
229,4855,6
229,39551,7
229,1974,8
229,21623,9
229,25182,10
230,5477,1
230,2315,2
230,18716,3
230,33025,4
232,9002,1
232,32431,2
232,22542,3
232,1972,4
232,1502,5
232,23944,6
233,29119,1
233,38682,2
237,852,1
237,38918,2
237,36340,3
237,23207,4
237,29534,5
237,3920,6
238,852,1
238,38918,2
238,36340,3
238,23207,4
238,29534,5
238,3920,6
239,852,1
239,38918,2
239,36340,3
239,23207,4
239,29534,5
239,3920,6
240,852,1
240,38918,2
240,36340,3
240,23207,4
240,29534,5
240,3920,6
241,37290,1
241,24555,2
241,21390,3
241,13237,4
241,37745,5
241,8870,6
241,16666,7
241,19431,8
241,24847,9
241,8704,10
241,19916,11
242,25360,1
242,18329,2
242,3778,3
242,15377,4
242,22991,5
242,15458,6
242,29076,7
244,22826,1
244,11981,2
244,15173,3
244,30028,4
244,25407,5
245,719,1
245,32557,2
245,26481,3
245,735,4
245,3737,5
245,33343,6
245,32942,7
245,733,8
245,3343,9
245,13743,10
246,28848,1
247,32526,1
247,2810,2
247,38269,3
247,7444,4
247,21341,5
247,29563,6
247,14567,7
248,16219,1
248,15153,2
248,23687,3
248,2082,4
248,535,5
248,31138,6
248,18995,7
248,22049,8
248,25767,9
249,33405,1
249,16332,2
249,14450,3
249,8986,4
249,5022,5
249,27101,6
249,11537,7
250,3608,1
250,9064,2
250,25926,3
250,17129,4
250,5421,5
250,6319,6
250,22175,7
250,27903,8
250,7983,9
250,16952,10
250,13363,11
250,21389,12
251,28941,1
